rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
2567,innoventive industries,1,11,11,spacy,0,non-informative,,,,,"Thereafter, in paragraph 22, the Appellate Tribunal extracted the relevant passages from the decision in Innoventive Industries wherein this Court has explained as to how the CIRP is triggered in the scheme of IBC; and has underscored the r"
2568,l.ed,1,11,11,spacy,0,non-informative,,,,,"Ira Y. Munn v. People, 24 L.Ed."
2569,national electricity policy,1,11,11,spacy,0,non-informative,ASPECT,,,,"For this purpose, he relied strongly upon Section 3 of the Electricity Act, which states that the Central Government, shall from time to time, prepare a National Electricity Policy and a tariff policy in consultation with the State Governme"
2570,ranga reddy district,1,11,11,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Insofar as the land in survey No.172 was concerned, it was found that Faisal Patti for 1978-79 had been issued by the Mandal Revenue Officer, Balangar, Ranga Reddy District mentioning 25 sub-divisions in Survey No. 172 made during the tenur"
2571,h.d. vora,1,11,11,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The writ petition, in effect, seeks reconsideration of the decision in H.D. Vora v. State of Maharashtra2 which was decided by a Bench of two learned Judges of this Court."
2572,non natural force majeure event,1,11,11,spacy,0,non-informative,ASPECT,,,,"For so long as the Seller is claiming relief due to any Non Natural Force Majeure Event (or Natural Force Majeure Event affecting the Procurer/s) under this Agreement, the Procurers may from time to time on one (1) days notice inspect the P"
2573,t.m. hassan rawther,1,11,11,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"This time, the Corporation received these tenders: (i) T.M. Hassan Rawther (Appellant before us) for Rs. six lakhs; (ii) P.M. Jacob for Rs.4,15,550 and (iii) K.K. Mathew for Rs.2,07,451."
2574,wrongful gain,1,11,11,spacy,0,non-informative,,,,,The appellant further contended that for conviction for cheating the prosecution had to establish both that the appellants had caused wrongful gain to themselves and caused wrongful loss to the banks and that as no wrongful loss to the bank
2575,tax west vs smt,1,11,11,rake,1,informative,MONETARY-VALUATION,,EVIDENCE,,
2576,respondent bank,1,11,11,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The appellant and her husband Mam Chand made a fixed deposit of Rs. 20,000/- with the respondent bank on 31st May, 1988 for a period of 84 months ( i.e. seven years)."
2577,kerala financial corporation,1,11,11,"rake,spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"Haji T.M. Hassan Rawther vs Kerala Financial Corporation on 17 November, 1987 , , 1988 (19) REPORTS 145, , , 1988 (1) UJ (SC) 322, 1988 UJ(SC) 1 322, (SC), (1988) 1 CURCC 730 Author: K.J. Shetty Bench: K.J. Shetty, B.C. Ray HAJI T.M. HASSAN"
2578,word transfer,1,11,11,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Now, transfer of a Judge may be consensual, i.e., with consent, or compulsory, i.e., without consent and the word 'transfer' according to its plain natural meaning would include both kinds of transfer."
2579,academic year,1,11,11,spacy,0,non-informative,TEMPORAL,,,,"(i) if he has studied in an educational institution or educational institutions in such local area for a period of not less than four consecutive academic years ending with the academic year in which he appeared or, as the case may be, firs"
2580,local candidate,1,11,11,spacy,0,non-informative,,,,,Para 8 provided for reservation by way of direct recruitment for local candidates.
2581,valuation officers,1,11,11,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Wealth Tax Rules 1957-Rule 2 A & Rule 2B Wealth Tax-Assessment of-Interest of Karta of H.U.F. in a partnership firm-Whether to be included in the net wealth of H.U.F. Wealth Tax Officer-Reference to Valuation Officers-When justified.
2582,rfp,1,11,11,spacy,0,non-informative,,,,,Standard documentation to be provided by the procurer in the RFP shall include - (ii) PPA proposed to be entered with the selected bidder.
2583,free and fair election,1,11,11,spacy,0,non-informative,,,,,"To answer the said question, it referred to the authorities in Vineet Narain V. Union of India[3], Kihoto Hollohan V. Zachillhu[4] and opined that in case when the Act or Rules are silent on a particular subject and the authority implementi"
2584,allotment proceeding,1,11,11,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The object and purpose of the notice to the landlord regarding the date fixed for allotment proceedings is to enable him to file his objections, if any, to the allotment proceedings or to make application for release of the premises as cont"
2585,imam jung,1,11,11,spacy,0,non-informative,,,,,"He was eventually made a “Commander of 6000 horsemen”, with the title of “Imam Jung”."
2586,dam project,1,11,11,spacy,0,non-informative,,,,,The State authorities have pleaded before the High Court by filing rejoinder affidavit that the standard practice in dam projects involving submergence in India as prescribed by Central Water Commission (CWC) that all lands and properties o
2587,shri prem kumar,1,11,11,spacy,0,non-informative,,,,,"The respondents arrayed in the Transfer Petition are (1) State of Tamil Nadu, (2) Director General of Police, Tamil Nadu, (3) Shri Prem Kumar, Superintendent of Police, Head of the Special Investigation Team (SIT),"
2588,singh pw3,1,11,11,spacy,0,non-informative,,,,,It is then stated that acquitted accused Satinder Pal Singh (A5) with his firearm hit Gurvinder Singh PW3 causing him injury on the right knee.
2589,kanika bose,1,11,11,"spacy,yake",0,non-informative,,,,,"By virtue of a written agreement of sale on 7.9.1979, one Kanika Bose (since deceased) had agreed to sell to the first respondent the southern portion of house being Holding No. 786-C, Ward No.1, Mohalla Barmasia under Giridih Municipality "
2590,election agent,1,11,11,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The said sub-Section reads as follows: ""(2) Undue influence, that is to say, any direct or indirect interference or attempt to interfere on the part of the candidate or his agent, or of any other person [with the consent of the candidate or"
2591,net value,1,11,11,"spacy,textacy",1,informative,MONETARY-VALUATION,,EVIDENCE,,Sub-section (2) provides that in the case of a business for which accounts are maintained by the assessee regularly the Wealth-tax Officer may instead of determining separately the valuation of each asset held by the assessee in such busine
2592,good government,1,11,11,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,(2) The Governor may make regulations for the peace and good government of any area in a State which is for the time being a Scheduled Area.
2593,accuse party,1,11,11,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"According to him the cause of the incident is long pending dispute regarding the piece of land on which the complainant party had stocked their wood and Harjit Singh And vs State Of Punjab on 16 August, 2002 thereby caused obstruction to th"
2594,alternative fuel,1,11,11,spacy,0,non-informative,,,,,"the ONGC, GSEB and GSFC, had more or less agreed to the principle of determining the price of gas on the basis of thermal equivalence with an alternative fuel or feedstock emanating from the processing of crude oil."
2595,siting,1,11,11,spacy,0,non-informative,,,,,"Develop Safety Codes, Guides and Standards for siting, design, construction, commissioning, operation, and decommissioning of the different types of plants, keeping in view the international recommendations and local requirements and develo"
2596,nazim atiyat,1,11,11,spacy,0,non-informative,,,,,"The parties to the suit, the decree holders and the assignees of the decrees (Cyrus/Gold Stone/Trinity) claim title to the land of extent of about 98 acres in Survey No.172 of Hydernagar primarily on the basis: (i) that it was the Mathruka "
2597,financial corporation,1,11,11,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
2598,consumption use or sale,1,11,11,yake,1,informative,LEGAL-CONCEPT,SALE-CONTRACT,ISSUE,,
2599,madhua,1,11,11,spacy,0,non-informative,,,,,"Briefly put, the case of the appellant was that the disputed Khata was recorded in the name of Karua the son of Madhua who died leaving behind his widow Kasturi and his son Karua."
2600,naurata singh,1,11,11,spacy,0,non-informative,,,,,"Surjit Kaur vs Naurata Singh & on 13 September, 2000 , , 2001 (4) LRI 474, (SC), 2000 (9) SRJ 97, (2000) 3 CIVILCOURTC 712, (2001) 1 LANDLR 588, (2001) 1 MAD LW 436, (2001) 1 PAT LJR 6, (2001) 1 PUN LR 218, , (2000) 6"
2601,nuclear waste,1,11,11,spacy,0,non-informative,,,,,"The IAEA’s International Project on Innovative Nuclear Reactor and Fuel Cycles (INPRO) brings many States together to consider approaches to safer, cheaper, more secure and more proliferation-resistant nuclear systems with effective managem"
2602,appointing authority,1,11,11,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Then, on October 4, 1952, the appellant submitted a further representation in which he said that under the rules in question, namely the Central Civil Service (Temporary Service) Rules, 1949, he was entitled to be retained in service in a p"
2603,national mills,1,11,11,spacy,0,non-informative,,,,,"The National Mills Company Limited, Ahmedabad, hereinafter referred to as the National Mills, was ordered to be compulsorily wound up by an order of the Joint Judge, Ahmedabad, dated 14-3-1950 and Trikamlal J., Patel, Manyantray T. Mehta (s"
2604,flat rate,1,11,11,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,The market value of lands in those villages cannot furnish the basis for determining the market value in regard to the acquired lands situated at Ijapura. (ii) Even if Ex. 15 and 16 could validly be the basis for determining the market valu
2605,harmit kaur,1,11,11,"spacy,yake",0,non-informative,,,,,"Ram Kishan Singh vs Harmit Kaur And on 9 December, , 1972(4)UJ424(SC), SUPREME COURT 468, 1972 SCD 343 74 PUN LR 712, 74 PUN LR 712 Author: A.N. Ray Bench: A.N. Ray, D.G. Palekar JUDGMENT A.N. Ray, J. 1."
2606,sardar sarovar,1,11,11,spacy,0,non-informative,,,,,"So far as the acquisition of land in such a situation is concerned, even the rehabilitation schemes under the NWDT Award, provided that the BWL at the highest flood level in the Sardar Sarovar would be worked out by the CWC in consultation "
2607,karnataka rent,1,11,11,yake,1,informative,MONETARY-VALUATION,TENANCY-LEASE,EVIDENCE,,
2608,die declaration exhibit p5,1,11,11,rake,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,
2609,sriram pasricha vs jagannath,1,11,11,rake,0,non-informative,,,,,
2610,ijapura,1,11,11,spacy,0,non-informative,,,,,"Thereafter, it reduced Rs.2/- per sq. m. therefrom for the distance factor (distance between Ijapura and the other two villages) to arrive at the market value as Rs.17.10 per sq.m."
2611,amalendu sahoo,1,11,11,spacy,0,non-informative,,,,,"Insofar as Condition No.5 was concerned, it was held relying on the judgments of this Court in National Insurance Company Limited vs. Nitin Khandelwal, [ ] and Amalendu Sahoo vs. Oriental Insurance Company Limited, [ ] that even if there wa"
2612,regulatory commissions,1,11,11,spacy,0,non-informative,,,,,"With the policy of encouraging private sector participation in generation, transmission and distribution and the objective of distancing the regulatory responsibilities from the Government to the Regulatory Commissions, the need for harmoni"
2613,keshav devi,1,11,11,spacy,0,non-informative,,,,,"Keshav Devi vs Shri Girdhari Lal Pahwa & on 5 November, 1986 COURT 22, , 1986 ALL."
2614,shri girdhari lal pahwa,1,11,11,"rake,spacy,yake",0,non-informative,,,,,"Keshav Devi vs Shri Girdhari Lal Pahwa & on 5 November, 1986 COURT 22, , 1986 ALL."
2615,fdi policy,1,11,11,spacy,0,non-informative,ASPECT,,,,"The MAFs also violate FDI policy in the field of accounting, auditing, book keeping, taxation and legal services."
2616,capacity charge,1,11,11,spacy,1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,"On 2nd/4th January, 2007, Adani Enterprises Consortium submitted its bid for generation and supply of 1000 MW to GUVNL, quoting a levelised tariff of Rs.2.3495/kWh (Rs.1/kWh as the capacity charge and Rs.1.3495/kWh as nonescalable energy ch"
2617,defendant no.206,1,11,11,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Thereafter, Cyrus (defendant No.206) and Nawab Khasim Nawaz Jung (defendant No.157) executed a Deed of Assignment on 29.11.1995 in favour of M/s Goldstone Exports Pvt."
2618,rama mukherjee,1,11,11,spacy,0,non-informative,,,,,"M/S Escorts Ltd vs Rama Mukherjee on 17 September, SC (CRIMINAL) 2208, 2014 ACD 567 (SC), 2013 (4) KANT HCR 557, SC (SUPP) 1026, (2014) 1 PUN LR 249, (2014) 1 CIVILCOURTC 216, 2013 CRILR(SC MAH GUJ) 1001, (2014) 2 MPLJ 301, (2013) 4 RECCIVR"
2619,pwcpl,1,11,11,spacy,0,non-informative,,,,,"In the writ petition filed directly in this Court, apart from the averments noted above, it has been stated that PricewaterhouseCoopers Private Limited (PwCPL) and their network audit firms operating in India, apart from other violations, h"
2620,bold supply,1,11,11,spacy,0,non-informative,,,,,(emphasis in bold supplied) 18.3.2.
2621,o. v. narasimha setty,1,11,11,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Krishnamurthy S. Setlur Dead By Lrs vs O. V. Narasimha Setty & on 23 February, 2007 2007 SCW 2979, 2007 (4) KAR R 246, , 2007 (2) HRR 193, (2007) 2 CURLJ(CCR) 127, 2007 HRR 2 193, (2007) 4 KANT LJ 463, (2007) 2 RECCIVR 313, (2007) 2 WLC(SC)"
2622,raju arijit pasayat,1,11,11,spacy,0,non-informative,,,,,199 of 2003#2003#Ashok Kumar Pandey #The State of West Bengal #2003-11-18#25629# 199#DORAISWAMY RAJU # ARIJIT PASAYAT.
2623,khan,14,84,10,spacy,0,non-informative,,,,,"Boundaries: N: Vacant land of this estate, S : ditto E: road, W: estate house occupied by Fakruddin M/S. Trinity Infraventures Ltd. vs M. S. Murthy on 15 June, 2023 Khan, tenant. 65. 6 Plot No.6, 1556 sq. yds."
2624,j. this appeal,10,10,10,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"J. This appeal by special leave is directed against the judgment of the Bombay High Court in Criminal Application No. 780 of 1981 filed by the respondent Haji Mastan Mirza, allowing the criminal appeal and declaring that the order of detent"
2625,mahajan,9,89,10,spacy,0,non-informative,,,,,"The only other Indian case cited at the Bar in this connection was that of the State of Seraikella and others v. Union of India and another(2) where Mahajan, J. expressed the view that s. 80 of the Code of Civil Procedure would not affect s"
2626,college,9,22,10,spacy,0,non-informative,,,,,"(iii) for the advancement and propagation of education and learning, particularly among the inhabitants of the State of Hyderabad (Deccan), including the establishment, maintenance and support of colleges, schools or other educational insti"
2627,competence,9,12,10,spacy,0,non-informative,,,,,"As soon as the broad correlationship between the cost of administration of civil justice and the levy of court fees ceases, the imposition becomes a tax and beyond the competence of the State Legislature."
2628,point raise,9,10,10,rake,0,non-informative,ASPECT,,,,
2629,icc,9,10,10,spacy,0,non-informative,CITATION-REF,,,,"ALL IND CAS 50 (SC), (2005) 4 KHCACJ 407 (SC), (2006) 1 WLC (SC)CIVIL 163, (SC), (2006) 1 ALL RENTCAS 502, (2006) 1 CIVILCOURTC 450, (2006) 1 WLC(SC)CVL 163, (2006) 37 ALLINDCAS 50, 2006 HRR 1 47, , , (2009) 2 CLR 752.2 (SC), (2009) 4 RECCI"
2630,settle law,9,10,10,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,He urged that it is well settled law that a public utility cannot arbitrarily discontinue its supply or services merely because the customer is unwilling to pay the price asked for as unconscionable and unreasonable.
2631,legal representative,9,10,10,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"It was also stated that in future if any of his brothers or legal representatives would make any claim or raise any dispute or the purchaser would be dispossessed, the seller would pay compensation, damages and costs to the buyer."
2632,appellant(s,9,10,10,spacy,0,non-informative,CITATION-REF,,,,No. 3913 of 2011) D.M. Nagaraja .... Appellant(s)
2633,sarkar,8,29,10,spacy,0,non-informative,,,,,"Held (per Das, Sarkar and Dayal, JJ.) that s. 42 did not empower the State Government to interfere with an order passed by an officer to whom the power to hear appeals filed under s. 21 (4) had been delegated by it under s. 41 (1)."
2634,movement,8,18,10,spacy,0,non-informative,ASPECT,,,,"It was then added that, ""The word 'course' etymologically denotes movement from one point to another, and the expression 'in the course of' not only implies a period of time during which the movement is in progress but postulates also a con"
2635,text,8,17,10,spacy,0,non-informative,,,,,"Statute had been interpreted by the High Court of Patna consistently from the beginning, that is, from a time soon after its enactment, in a certain way and this Court held in view of the obscurity in the text and the inaction of the legisl"
2636,goal,8,13,10,spacy,0,non-informative,,,,,"For, in a dynamic democracy, with goals of transformation set up by the Constitution, the Judge, committee to uphold the founding faiths and fighting creeds of the nation so set forth, has to act heedless of executive hubris, socio-economic"
2637,restoration,8,12,10,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,The Appellate Tribunal held that restoration of the two theaters to the original owners amounted to transfer by the firm and the entries adjusting the depreciation and writing off the assets at the original value amounted to total recoupmen
2638,war,8,11,10,spacy,0,non-informative,,,,,"what war there in the body of the proviso was relegated to a new separate paragraph and no change was effected except that the effect of the wide expression ' all suits and proceedings"" was re-emphsised and further clarified by using the wo"
2639,official gazette,8,10,10,spacy,0,non-informative,,,,,Section 6(1) obliges the landlords of premises situated in any area specified by the State Government by notification in the Official Gazette to give intimation the prescribed form to the State Government of any vacancy therein.
2640,appeals nos,8,10,10,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Appeals by special leave from the judgment and order dated July 12, 1966 of the Allahabad High Court in Second Appeals Nos. 1031 and 1032 of 1959."
2641,contra,8,10,10,spacy,0,non-informative,,,,,"Per Contra, there can be situations where the need of the consumer is not so vital and the requirements of the economic scene are such that the needs of the producer should be given greater consideration."
2642,act deal,8,10,10,spacy,1,informative,STATUTE-PROVISION,,RULE,,"[Clause (c)I. Chapter IV of the,Act deals with finance, accounts, audit and reports."
2643,inception,8,10,10,spacy,0,non-informative,,,,,"If the public purpose for which the premises were required was of a perennial or permanent character from the very inception, no order could be passed requisitioning the premises, where the purpose for which the premises was required was of"
2644,l. j.,8,10,10,spacy,0,non-informative,CITATION-REF,,,,"L. J. 99, , 1970 MADLW 1, Bench:"
2645,court come to the conclusion,8,10,10,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
2646,rajendra,7,44,10,spacy,0,non-informative,,,,,"No. 341/04 under Section 302 IPC : In this case due to prior rivalry with rowdy Rajendra @ Bekkina Kannu Rajendra, and also thinking that Rajendra was responsible for the death of his younger brother Krishna @ Kitti, chased him in public vi"
2647,engineering,7,16,10,spacy,0,non-informative,,,,,"For example, technical posts in research and development organisations/departments/institutions, in specialities and super-specialities in medicine, engineering and other such courses in physical sciences and mathematics, in defence service"
2648,theory,7,14,10,spacy,0,non-informative,,,,,"The theory 'no profit, no loss' in public enterprise is particularly inconsistent with a socialist economy, and if pursued in a mixed economy it will hamper the evolution of the mixed economy into a socialist society."
2649,improvement,7,13,10,spacy,0,non-informative,ASPECT,,,,"It is on the above circumstances, improvements and omissions, in the statement of Hari Singh (PW-1) that the learned counsel appearing for the accused Harjit Singh (A-1) submits that plea of self-defence of the accused should be accepted by"
2650,commissioners,7,13,10,spacy,0,non-informative,,,,,Similarly subsection (7) of section III enabled the Commissioners to appropriate the fees.
2651,compound,7,12,10,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"the, Industrial, Court observed : ""Shri Jyotikar had urged that the term 'mill premises' as interpreted by the courts would include even Places around the factory and so the question whether the appellants were working in one compound or th"
2652,remuneration,7,11,10,spacy,0,non-informative,,,,,"""But probably the largest part of the remuneration of the official staff of the courts came from fees in connection with the very numerous acts that must be done to set and keep in motion the complicated machinery of the courts,, from the i"
2653,ability,7,11,10,spacy,0,non-informative,,,,,"They must discharge their duties to the best of their abilities to ensure that social fiber, peace and tranquility of the society remains intact."
2654,furtherance,7,10,10,spacy,0,non-informative,,,,,"The accused Varinderjit Singh has been charged in furtherance of common intention of the unlawful assembly with common object to have caused grievous injuries to Harjinder Singh by means of ""Kirpan,"" constituting an offence under Section 32"
2655,follow passage,7,10,10,"rake,spacy",1,informative,PROPERTY-RES,EASEMENT,EVIDENCE,,"After referring to the provisions of law, treatise and the case law, both of English and Indian Courts, this Court reproduced the following passage from the decision in Ajudhia Pershad Ram Pershad v. Sham Sunder, with approval: ""These Secti"
2656,legislative intent,7,10,10,spacy,0,non-informative,,,,,"That the said Act as originally enacted had contemplated both the requisitioning of premises and compulsory letting out thereof indicates the legislative intent that whereas letting out was intended to be a permanent arrangement, requisitio"
2657,large interest,7,10,10,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"We direct the Registry to send a copy of this judgment to the Law Commission and to the Union Law Secretary, Government of India who may place it before the Hon'ble Minister for Law & Justice to take appropriate steps in the larger interest"
2658,formation,7,10,10,spacy,0,non-informative,,,,,In Civil Appeal Nos. 155254 of 2000 as well acquisition of the land was made for formation of a link road to the new town.
2659,order of the state,7,10,10,yake,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
2660,par,7,10,10,spacy,0,non-informative,,,,,"[181E-G] (2) It is however not necessary in this case to express any final opinion on the issue whether the ONGC was a public utility undertaking except to say, prima facie, that it could not be placed on par with a public utility undertaki"
2661,summary,7,10,10,spacy,0,non-informative,ASPECT,,,,Summary *
2662,jammu,6,57,10,spacy,0,non-informative,,,,,"R.D. Shetty v. The International Airport Authority of India JUDGMENT: State of Jammu and Kashmir & , [1980] 3 ; Fertilizer Corporation Kamagar Union v. Union of India, ; Ram and Shyam Company v. State of Haryana & ,"
2663,earth,6,20,10,spacy,0,non-informative,,,,,Villagers raised the level of the street by putting earth on it for paving the same with bricks.
2664,medium,6,18,10,spacy,0,non-informative,,,,,Learned counsel has submitted that filing of the complaints under Section 500 IPC against these persons shows that even expressing any kind of dissent against the prosecution of the petitioner either in an article which is published in a ne
2665,university,6,14,10,spacy,0,non-informative,,,,,"(2) An order made under clause (1) may, in particular,— (a) require the State Government to organise any class or classes of posts in a civil service of, or any class or classes of civil posts under, the State into different local cadres fo"
2666,mass,6,13,10,spacy,0,non-informative,,,,,"The word 'import', it was held, was not merely bringing into but something more, i.e., incorporating and mixing up of the goods imported with the mass of the property and `expore, it was also held, had reference to taking out of goods which"
2667,customer,6,12,10,spacy,0,non-informative,,,,,On behalf of the respondents it was contended that a public utility undertaking could not arbitrarily discontinue its supply or services merely because the customer was unwilling to pay the price asked for as unconscionable and unreasonable
2668,reputation,6,11,10,spacy,0,non-informative,,,,,"Under s. 41 5 of the Indian Penal Code a person is said to cheat when he by deceiving another person fraudulently or dishonestly induces the person so deceived to deliver any property to him, or to consent that he shall retain any property "
2669,applicable law,6,10,10,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"That is consistent with the Directive's requirements that the applicable law of the parties' insurance contract should be communicated to the insured before the conclusion of the contract ""in a clear and accurate manner, in writing, in an o"
2670,l.r.,6,10,10,spacy,0,non-informative,CITATION-REF,,,,"Harvey v. Truro Rural District Council,, (1903) L.R. 2 Ch. 638, Rex v. Wright (1832) 2 B. & Ad, 681 : 37 R.R. 520 and Anukul Chandra v. Dacca Dt."
2671,territorial limit,6,10,10,spacy,0,non-informative,,,,,"In Rattigan's 'Digest of Customary Law in the Punjab', in the introduction to Chapter X (Village Common Land) it is noted that within the territorial limits of every village some portion of the uncultivated waste lands are reserved 'for pur"
2672,proper case,6,10,10,"spacy,textacy",0,non-informative,ASPECT,,,,"Lord Moulton after tracing the growth of the law of arbitration made the following observations in his speech: ""But, My Lords, it must be remembered that these arbitration clauses must be taken to have been inserted with due regard to the e"
2673,retirement,6,10,10,spacy,0,non-informative,,,,,Section 32 deals with the consequences of retirement.
2674,night,6,10,10,spacy,0,non-informative,,,,,There were frequent checkings of the rivets and the seals of the wagon during the night of 13th May but on the morning of the 14th the seal on one side of the wagon was broken and the seal card lying on the ground.
2675,j.c. shah,6,10,10,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"J.C. Shah, V. Ramaswami COMMISSIONER OF INCOME-TAX WEST BENGAL,CALCUTTA Vs. SMT."
2676,xvii,6,10,10,spacy,0,non-informative,CITATION-REF,,,,"Author: P. Sathasivam Bench: P. Sathasivam, R.V. Raveendran ITEM NO.1A COURT NO.1 SECTION XVII SUPREME COURT OF INDIA RECORD OF PROCEEDINGS CIVIL APPEAL NO(s)."
2677,13th,6,10,10,rake,0,non-informative,,,,,
2678,common ground,6,10,10,spacy,0,non-informative,ASPECT,,,,"Price fixation, it is common ground, is generally a legislative function."
2679,textile,5,23,10,spacy,0,non-informative,,,,,The respondents were malis who under a contractor looked after the maintenance of a garden adjacent to but outside the Premises of the appellant company which produced textiles.
2680,tort,5,12,10,spacy,0,non-informative,,,,,"In Nilabati Behara Vs.State of Orissa , it was held by the Supreme Court that it would, however, be appropriate to spell out clearly the principle on which the liability of the State arises in such cases for payment of compensation and the "
2681,composition,5,12,10,spacy,0,non-informative,,,,,"The inputs of efficiency include a sense of belonging and of accountability which springs in the bosom of the bureaucracy (not pejoratively used) if its composition takes in also the weaker segments of ‘We, the people of India’."
2682,temple,5,11,10,spacy,0,non-informative,,,,,"Hindu piety found expression in gifts to ideals and images consecrated and installed in temples, to religious institutions of every kind, and for all purposes considered meritorious in the Hindu social and religious system ; to Brahmins, Go"
2683,stakeholder,5,11,10,spacy,0,non-informative,,,,,"Pursuantly, the Central Government was permitted to proceed with the issuance of the notification to constitute the CEC as a permanent body in the interest of all stakeholders."
2684,v.d. tulzapurkar,5,10,10,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Y.V. Chandrachud, Syed Murtaza Fazalali, V.D. Tulzapurkar, O. Chinnappa Reddy, A. Varadarajan GRAM PANCHAYAT OF VILLAGE, JAMALPUR Vs. MALWINDER SINGH & DATE OF JUDGMENT09/07/1985 CHANDRACHUD, Y.V. ((CJ) CHANDRACHUD, Y.V. ((CJ) FAZALALI, SYE"
2685,cattle,5,10,10,spacy,0,non-informative,,,,,"It was further contended that on the strength of the order dated 02.02.2009 in Writ Petition No.10098 of 2008, the District Collector had directed them to stop the cultivation of Hospitality Association Of Mudumalai vs In Defendent Of Envir"
2686,comparison,5,10,10,spacy,0,non-informative,ASPECT,,,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
2687,relevant material,5,10,10,spacy,0,non-informative,ASPECT,,,,The only question to be considered is as to whether the Oil and Natural Gas Commission has fixed a price based on relevant materials and on some known principle.
2688,sessions court,5,10,10,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"In pending cases, he was granted bail from the courts and in one case he has been convicted and sentenced to undergo rigorous imprisonment for a term of nine years by the Sessions Court, Bangalore."
2689,essential element,5,10,10,spacy,0,non-informative,ASPECT,,,,[983 C; 984 H] (vi) The High Court rightly held in the present case that the fees taken in Courts are not a category by themselves and must contain the essential elements of the fees as laid down by this Court.
2690,interview,5,10,10,spacy,0,non-informative,,,,,"On the morning of 29-7-1955, there was an interview between one Ratilal Nathalal, a co-director of the Himabhai Company on the one hand and Trikamlal on the other in the office of Vasavda, a labour leader in Ahmedabad, in the premises of th"
2691,investigate officer,5,10,10,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,The investigating officer was not produced.
2692,reliability,5,10,10,spacy,0,non-informative,,,,,"Science has not yet invented any instrument to test the reliability of the evidence placed before a Court or Tribunal, Therefore the Courts and Tribunals have to judge the evidence before them by applying the test of human probabilities."
2693,readiness,5,10,10,spacy,0,non-informative,,,,,"As its name indicates, the term ""public utility"" implies a public use and service to the public, and indeed, the principal determinative characteristic of a public utility is that of service to, or readiness to serve, an indefinite public ("
2694,life time,5,10,10,"spacy,textacy",0,non-informative,TEMPORAL,,,,"If the intention of the testator was only to give an absolute estate to Shirinbai and that her heirs, executors and administrators were only to claim through her and not independently of her, then the death of Shirinbai during the life-time"
2695,y.v.,5,10,10,spacy,0,non-informative,CITATION-REF,,,,"Y.V. Chandrachud, Syed Murtaza Fazalali, V.D. Tulzapurkar, O. Chinnappa Reddy, A. Varadarajan GRAM PANCHAYAT OF VILLAGE, JAMALPUR Vs. MALWINDER SINGH & DATE OF JUDGMENT09/07/1985 CHANDRACHUD, Y.V. ((CJ) CHANDRACHUD, Y.V. ((CJ) FAZALALI, SYE"
2696,endowment,4,13,10,spacy,0,non-informative,,,,,"Faced with such a draconian order of the State authorities His Holiness Sri Kanchi Kamakoti Peetadhipathi Jagadguru Sri Sankaracharya Swamigal Srimatam Samasthanam, represented by its Manager, filed writ petition No. 1050 of 2005 impleading"
2697,discrepancy,4,11,10,spacy,0,non-informative,,,,,"The High Court, thereafter, heard the reference and decided in favour of the assessee, holding that: (1) the Tribunal ignored a part of the declaration made by the respondent that 494 high denomination notes were received from the bank in C"
